Mlz.Grb.;Temel Mlz.Grb.;Açıklama
CBAK;KALIP;CIVATA BAKIR
CBSK;KALIP;CIVATA BESIK
CBURC;KALIP;CIVATA BURCLAR
CCAP;KALIP;CIVATA CAPAKLAMA
CDAY;KALIP;CIVATA DAYAMA TAKOZU
CDBES;KALIP;CIVATA DUZ BESLEME
CEJBURC;KALIP;CIVATA EJEKTOR BURCLAR
CHAZ;KALIP;CIVATA HAZIRLAYICI
CKLK;KALIP;CIVATA KULAK CIVATALARI
CKLP;KALIP;CIVATA KALIP
CKON;KALIP;CIVATA KONIKLER
CKVN;KALIP;CIVATA KOVAN
CMK;KALIP;CIVATA MARKA KALIP
CMKS;KALIP;CIVATA MAKAS
CMKSK;KALIP;CIVATA MAKAS KARSILIGI
CONSI;KALIP;CIVATA ON SILINDIR
CPCS;KALIP;CIVATA PUNCH CIKARICI
CPIN;KALIP;CIVATA PIN
CPRJ;KALIP;CIVATA PROJE
CPRMK;KALIP;CIVATA PARMAK
CPUN;KALIP;CIVATA PUNCH
CTARAK;KALIP;CIVATA TARAK
CTARAKA;KALIP;CIVATA TARAK ALTLIĞI
CTBES;KALIP;CIVATA TAMAMLAYICI BESLEME
CUSK;KALIP;CIVATA UC SIVRILTME KARTUSU
CYAYA;KALIP;CIVATA YAY ADAPTOR
CYP;KALIP;CIVATA YEDEK PARCA
KAPY;KALIP;KAPLAMA YEDEK PARCA
KLPHKSEM;KALIP;KALIPHANE YARI MAMULLER
KLPHYDK;KALIP;KALIPHANE MUHTELIF PARCALAR
KLTY;KALIP;KALITE YEDEK PARCA
SDAY;KALIP;SOMUN DAYAMA TAKOZU
SDEL;KALIP;SOMUN DELICI
SDSL;KALIP;SOMUN DISLI
SDSR;KALIP;SOMUN DUSURUCU
SENJP;KALIP;SOMUN EJEKTOR PIN
SKIC;KALIP;SOMUN KALIP IC CEKIRDEK
SKLP;KALIP;SOMUN KALIP
SKLV;KALIP;SOMUN KLAVUZ
SKVN;KALIP;SOMUN KOVAN
SMKR;KALIP;SOMUN MAKARA
SMKS;KALIP;SOMUN MAKAS
SMKSK;KALIP;SOMUN MAKAS KARSILIGI
SOMP;KALIP;SOMUN PENS
SOMT;KALIP;SOMUN TAKOZ
SPAR;KALIP;SOMUN PARMAK
SPIN;KALIP;SOMUN PIN
SPINK;KALIP;SOMUN PUNCH KOVANI
SPRJ;KALIP;SOMUN PROJE
SPUN;KALIP;SOMUN PUNCH
STSK;KALIP;SETSKUR
SYP;KALIP;SOMUN YEDEK PARCA
SYUZ;KALIP;SOMUN YÜZÜK
TARAK;KALIP;TARAK
TARAKA;KALIP;TARAK ALTLIK
VADAP;KALIP;Vida Adaptör
VARMT;KALIP;VIDA ARMUDI
VBES;KALIP;VIDA BESLEME
VKLP;KALIP;VIDA KALIP
VKVN;KALIP;VIDA KOVAN
VMKR;KALIP;VIDA MAKARA
VMKS;KALIP;VIDA MAKAS
VPAR;KALIP;VIDA PARMAK
VPIN;KALIP;VIDA PIN
VPRJ;KALIP;VIDA PROJE
VPUN;KALIP;VIDA PUNCH
VTARAK;KALIP;VIDA TARAK
VYP;KALIP;VIDA YEDEK PARCA
